document,sentiment_label,polarity,subjectivity
Excellent service,positive,1.0,1.0
It was a quick and easy set up,positive,0.38,0.67
Good customer service,positive,0.7,0.6
,negative,0.0,0.0
Was called when out - took items did not need tried to cancel part - poor reduction after removing item - went to cancel could not understand call handler had to ask to repeat what she said back to her . Still not cancelled - hope to get a British native speaker next time.,negative,-0.1,0.15
,negative,0.0,0.0
,negative,0.0,0.0
"Good customer service, polite Staff",positive,0.7,0.6
"Your lady who helped me, her name was Clara, was absolutely wonder. She explained everything to me, and was a delight to speak to.please thank her for me, and tell her I enjoyed our chat.",positive,0.35,0.8
"The experience is really good. The price can be a bit expensive. But I have had good experience with company media so far. The engineer, who came to my address was very professional and friendly. And did a really good job running the wires nice and tidy. Exactly how I wanted.",positive,0.37,0.62
Good service,positive,0.7,0.6
"Mat was incredibly helpful and friendly made me feel at ease while I was trying to decide where I was going to go but with no pressure just laid out facts and remained friendly. I called to have an engineer come out and spoke with Cary who was also incredibly helpful booked me someone within a day and he was very polite and talkative. Finally Si came out with a colleague whos name i was unable to get to install they were both great made the process very easy for me to understand the process and even helped me with a cable that I didn't know was damaged. Start to end process has been excellent, special thank you to all who helped.",positive,0.45,0.72
,negative,0.0,0.0
"The best technician I've ever met. He was very professional and gentle person. He had a calm and cool personality. Even though there was a delay in opening the door to him, he waited patiently and was cool with it. Overall the installation went fast and perfectly. Thank you for providing with professionals with good character rather than other providers. That is one point right on the sheets.",positive,0.37,0.53
The person i spoke to was extremely helpful and informative. The package i purchased was an improvement on the deal i was getting from another provider,negative,-0.12,1.0
Ellie was very nice and easygoing funny too,positive,0.52,1.0
"They were proactive and called me, as I had added to the Basket. Saved me a call. The next day I filled in the request for information outside our house for cabling. The contractor arrived a few hours later to fit the cable. Unbelievable service.",negative,0.05,0.35
Friendly and quick service .,positive,0.35,0.5
"The engineer that came to help with the installation, Abbie, went above and beyond to understand how I wanted the setup and make sure everything was done properly. Very happy with his service.",positive,0.5,0.66
,negative,0.0,0.0
THE REASON IS BECAUSE FOLLOWING MY JOINING company THE SUBSEQUENT VERY NEXT DAY THE company TEAM FITTED EQUIPMENT OUTSIDE MY COTTAGE HERE IN NEWTONGRANGE THANKYOU VERY MUCH FOR YOUR VERY PROMT SERVICE ONLY ONE SMALL COMPLAINT HAVING DIFFICULTY IN OBTAINING DUE FINANCIAL REWARD YOURS SINCERELY,negative,0.02,0.27
Friendly helpful,positive,0.38,0.5
"super quick, responsive and helpful. Great customer service, thank-you!",positive,0.56,0.64
Angie was extremely helpful and helped me choose the right package for my needs (we think),negative,0.08,0.77
Great service and sales consultant..great deal offered,positive,0.8,0.75
"It's speed is awesome, there is no shut down. Customer services are excellent and staff is highly cooperative.",positive,0.5,0.71
"Efficient, courteous staff. Good service and prices. Glad to be on board. John.",positive,0.6,0.87
,negative,0.0,0.0
Easy set up and good price,positive,0.57,0.72
Very fast Internet,positive,0.26,0.78
,negative,0.0,0.0
I cant get my box to work,negative,0.0,0.0
Very helpful and efficient service and competitive broadband TV package,positive,0.2,0.3
"terrible customer service, a week later and my WIFI still isn't set up and nobody has contacted me since they said it would be sorted within 24 hrs and someone would call me",negative,-0.5,0.5
"Very good customer service from Agent and she found us a really good deal, a lot better than we was getting from sky",positive,0.7,0.63
,negative,0.0,0.0
The reson is your one emplyee Rosie She helped me by going extra mile over the phone this ranking is only for that lady as for you online sale department their performance is not good,negative,-0.12,0.57
